Reference, Value, Footprint, Datasheet, Part Number, Manufacturer, Package, Supplier, Order Code, Note, Alt. Supplier, Alt. Order Code
U1,DS1339,,,DS1339U-33+T&R,Maxim,USOP-8,Farnell,2515464,I2C serial real-time clock,,
C4,0.33F/5.5V,,,EECS0HD334VN,Panasonic,,Farnell,2472068,330mF/5.5V ⌀10.5mm backup capacitor,,
Y1,32.768kHz,,,FC-135,Xinhunjing,1206,Farnell,2467864,32768Hz 1206 7pF crystal,Open Parts Library,306010055
U2,24AA16T,,,24AA16T-I/OT,Microchip,SOT23-5,Farnell,1331290,16k I2C serial EEPROM,,
R1,560k,,,RC0603JR-07560KL,Yageo,0603,Farnell,9233717,560kΩ/5% 0603 resistor,Open Parts Library,301010230
Q1,CJ2302,TO_SOT_Packages_SMD:SOT-23,,CJ2302,JCET,SOT23,Farnell,1299316,N-channel MOSFET 20V/2.1A,Open Parts Library,305030015
P2,3way KK,Connectors_Molex:Molex_KK_6410-03,,22-23-2031,Molex,3way,Farnell,1462950,3way KK-series header,,
R2,10k,,,RC0603FR-0710KL,Yageo,0603,Farnell,9238603,10kΩ/1% 0603 resistor,Open Parts Library,301010299
C1,10u/25V,Capacitors_SMD:C_0805,,CC0805KKX5R8BB106,Yageo,0805,Farnell,1735530,10μF/25V 0805 X5R ceramic capacitor,Open Parts Library,302010178
C2,10u/25V,Capacitors_SMD:C_0805,,CC0805KKX5R8BB106,Yageo,0805,Farnell,1735530,10μF/25V 0805 X5R ceramic capacitor,Open Parts Library,302010178
C3,100n,Capacitors_SMD:C_0603,,CC0603KRX7R9BB104,Yageo,0603,Farnell,1362556,100nF/50V X7R 0603 ceramic capacitor,Open Parts Library,
C5,100n,Capacitors_SMD:C_0603,,CC0603KRX7R9BB104,Yageo,0603,Farnell,1362556,100nF/50V X7R 0603 ceramic capacitor,Open Parts Library,
A1,ARDUINO_MKR1000,,
P1,GS009S,Connect:AK300-2,,GS009S-5.0-02P-1,GOOSVN,5mm pitch,Farnell,2493622,5mm 2way screw terminal,Open Parts Library,320110028
R3,560k,,,RC0603JR-07560KL,Yageo,0603,Farnell,9233717,560kΩ/5% 0603 resistor,Open Parts Library,301010230
D1,LED GREEN,LEDs:LED_0603,,19-217-G7C-AN1P2-3T,Everlight,0603,Farnell,8554609,Green 0603 LED,Open Parts Library,304090043
Q2,PSMN6R0,SMD_Packages:SO-8_PowerPAK_Vishay_Single,,PSMN6R0-30YLB,NXP,Power-SO8,Farnell,2067550,N-channel 30V 70A LFPAK MOSFET,,
R5,10k,,,RC0603FR-0710KL,Yageo,0603,Farnell,9238603,10kΩ/1% 0603 resistor,Open Parts Library,301010299
P3,GS009S,Connect:AK300-2,,GS009S-5.0-02P-1,GOOSVN,5mm pitch,Farnell,2493622,5mm 2way screw terminal,Open Parts Library,320110028
U3,74AHCT244,,,SN74AHCT244PW,Texas Instruments,TSSOP-16,Farnell,9590706,Octal buffers/drivers with 3-state outputs,,
C14,10u/25V,Capacitors_SMD:C_0805,,CC0805KKX5R8BB106,Yageo,0805,Farnell,1735530,10μF/25V 0805 X5R ceramic capacitor,Open Parts Library,302010178
C6,100n,Capacitors_SMD:C_0603,,CC0603KRX7R9BB104,Yageo,0603,Farnell,1362556,100nF/50V X7R 0603 ceramic capacitor,Open Parts Library,302010138
R4,560k,,,RC0603JR-07560KL,Yageo,0603,Farnell,9233717,560kΩ/5% 0603 resistor,Open Parts Library,301010230
R8,560k,,,RC0603JR-07560KL,Yageo,0603,Farnell,9233717,560kΩ/5% 0603 resistor,Open Parts Library,301010230
R7,560k,,,RC0603JR-07560KL,Yageo,0603,Farnell,9233717,560kΩ/5% 0603 resistor,Open Parts Library,301010230
R11,560k,,,RC0603JR-07560KL,Yageo,0603,Farnell,9233717,560kΩ/5% 0603 resistor,Open Parts Library,301010230
R12,560k,,,RC0603JR-07560KL,Yageo,0603,Farnell,9233717,560kΩ/5% 0603 resistor,Open Parts Library,301010230
